item,itemLabel,year,journalLabel,languageOfWorkLabel,mainSubjectLabel,authors
http://www.wikidata.org/entity/Q105064720,SPARQLing Geodesy for Cultural Heritage -New Opportunities for Publishing and Analysing Volunteered Linked (Geo-)Data,,FIG Peer Review Journal,,ogham stone,"Jakob Voss, Martina Trognitz, Sophie C. Schmidt, Florian Thiery, Timo Homburg"
http://www.wikidata.org/entity/Q121833701,Photo competition: Wiki Loves Monuments 2023 from September,2023-08-25T00:00:00Z,saxorum.hypotheses.org,German,Wikidata,Matthias Erfurth
http://www.wikidata.org/entity/Q121536471,Die Datenlaube is coming to school: links and sources for special learning achievements,2023-08-17T00:00:00Z,saxorum.hypotheses.org,German,special learning achievement (BeLL),"Jens Bemme, Juliane Flade"
http://www.wikidata.org/entity/Q103915866,Wikidata: la soluzione wikimediana ai linked open data,2016-02-03T00:00:00Z,AIB studi,Italian,linked open data,Luca Martinelli
http://www.wikidata.org/entity/Q103798089,Data Roundtripping: a new frontier for GLAM-Wiki collaborations,2019-12-13T00:00:00Z,,English,Metadata roundtripping of GLAM data with Wikidata and Wikimedia Commons,Sandra Fauconnier
http://www.wikidata.org/entity/Q51791404,Querying Wikimedia Images using Wikidata Facts,2018-04-01T00:00:00Z,"WWW '18 Companion: The 2018 Web Conference Companion, April 23–27, 2018, Lyon, France",English,Wikimedia Commons,"Aidan Hogan, Benjamin Bustos"
http://www.wikidata.org/entity/Q69736798,Sächsische Ortsdaten in der Linked Open Data Cloud: Teilautomatisierte Anreicherung und Analyse der HOV-ID in Wikidata,2019-10-05T00:00:00Z,saxorum.hypotheses.org,German,linked open data,Christian Erlinger
http://www.wikidata.org/entity/Q58773261,"Spread open knowledge to create new one. Report of the conference “Challenges and Alliances between Libraries and Wikipedia” (Central National Library of Florence, November 10th 2017",2018-08-03T00:00:00Z,Bibliothecae.it,Italian,Wikidata,Luigi Catalani
http://www.wikidata.org/entity/Q58773261,"Spread open knowledge to create new one. Report of the conference “Challenges and Alliances between Libraries and Wikipedia” (Central National Library of Florence, November 10th 2017",2018-08-03T00:00:00Z,Bibliothecae.it,Italian,Wikipedia,Luigi Catalani
http://www.wikidata.org/entity/Q86997852,Knowledge Graphs on the Web -- an Overview,2020-01-01T00:00:00Z,Computer Science,English,knowledge graph,"Heiko Paulheim, Sven Hertling, Nicolas Heist"
http://www.wikidata.org/entity/Q40974157,SQID: Towards Ontological Reasoning for Wikidata,2017-01-01T00:00:00Z,,English,ontology,"Markus Krötzsch, Maximilian Marx"
http://www.wikidata.org/entity/Q64225211,Using Shape Expressions (ShEx) to Share RDF Data Models and to Guide Curation with Rigorous Validation,2019-05-25T00:00:00Z,"The Semantic Web: 16th International Conference, ESWC 2019, Portorož, Slovenia, June 2–6, 2019, Proceedings",English,FAIR data,"Daniel Mietchen, Andra Waagmeester, Gregory Stupp, Harold Solbrig, Eric G. Prud'hommeaux, Katherine Thornton, José Emilio Labra Gayo"
http://www.wikidata.org/entity/Q117074054,Metodología para la incorporación de información geográfica en Wikidata,2023-02-24T00:00:00Z,Revista de Estudios Andaluces,Spanish,triangulation station,Ángel Obregón Sierra
http://www.wikidata.org/entity/Q107383066,How We Built a Spatial Subject Classification Based on Wikidata,2021-06-14T00:00:00Z,Code4Lib Journal,English,Wikidata,Adrian Pohl
http://www.wikidata.org/entity/Q56648870,New ways of creating and sharing bibliographic information : an experiment of using the Wikibase Data Model for UNIMARC data,2018-01-01T00:00:00Z,JLIS.it,English,linked open data,"Giovanni Bergamin, Cristian Bacchi"
http://www.wikidata.org/entity/Q105742243,The LOTUS Initiative for Open Natural Products Research: Knowledge Management through Wikidata,2021-03-01T00:00:00Z,bioRxiv,English,chemotaxonomy,"Egon Willighagen, Daniel Mietchen, Guido F Pauli, Jakub Galgonek, Arnaud Gaudry, Jean-Luc Wolfender, Pierre-Marie Allard, Jonathan Bisson, Jiří Vondrášek, James G Graham, Maria Sorokina, Ralf Stephan, Roderic D. M. Page, Adriano Rutz, Christoph Steinbeck"
http://www.wikidata.org/entity/Q61605356,Open Research Knowledge Graph: towards machine actionability in scholarly communication,2019-01-30T00:00:00Z,Proceedings of the 10th International Conference on Knowledge Capture,English,research assessment,"Sören Auer, Mohamad Yaser Jaradeh, Gábor Kismihók, Markus Stocker, Kheir Eddine Farfar"
http://www.wikidata.org/entity/Q121536471,Die Datenlaube is coming to school: links and sources for special learning achievements,2023-08-17T00:00:00Z,SLUBlog,German,special learning achievement (BeLL),"Jens Bemme, Juliane Flade"
http://www.wikidata.org/entity/Q56010228,Getting the Most out of Wikidata: Semantic Technology Usage in Wikipedia’s Knowledge Graph,2018-01-01T00:00:00Z,"The Semantic Web – ISWC 2018: 17th International Semantic Web Conference, Monterey, CA, USA, October 8–12, 2018, Proceedings, Part II",English,Wikidata,"Markus Krötzsch, Stanislav Malyshev, Julius Gonsior, Adrian Bielefeldt"
http://www.wikidata.org/entity/Q56010228,Getting the Most out of Wikidata: Semantic Technology Usage in Wikipedia’s Knowledge Graph,2018-01-01T00:00:00Z,"The Semantic Web – ISWC 2018: 17th International Semantic Web Conference, Monterey, CA, USA, October 8–12, 2018, Proceedings, Part II",English,Wikipedia,"Markus Krötzsch, Stanislav Malyshev, Julius Gonsior, Adrian Bielefeldt"
